kmdm,kmmc,dwdm,dwmc,rlj,ylj,nlj
2210201,住房公积金,17,大连市财政局,0,239188.72,479555.36
2210201,住房公积金,19,大连市人力资源和社会保障局,0,158913.52,317827.04
2210201,住房公积金,20,大连市国土资源和房屋局,0,198258.17,392927.7
2210201,住房公积金,21,大连市城乡建设委员会,0,21381.33,42762.66
2210201,住房公积金,22,大连市规划局,0,147758.12,295516.24
2210201,住房公积金,23,大连市城市建设管理局,0,95769.67,191539.34
2210201,住房公积金,25,大连市交通局,0,88902,177804
2210201,住房公积金,27,大连市农村经济委员会,0,128836.66,257673.32
2210201,住房公积金,28,大连市水务局,0,81152.08,161048.91
2210201,住房公积金,29,大连市林业局,0,73648.81,147297.62
2210201,住房公积金,30,大连市海洋与渔业局,0,71663.56,143327.12
2210201,住房公积金,31,大连市对外贸易经济合作局,0,132064.91,259392.94
2210201,住房公积金,32,大连市服务业委员会,0,93735.21,188397.06
2210201,住房公积金,33,大连市文化广播影视局,0,85182.81,171603.06
2210201,住房公积金,34,大连市卫生和计划生育委员会,0,141624.72,294362.13
2210201,住房公积金,36,大连市审计局,0,170635.85,344028.01
2210201,住房公积金,37,大连市地方税务局,0,1337304.76,2672893.66
2210201,住房公积金,38,大连市质量技术监督局,0,76532.31,153064.62
2210201,住房公积金,39,大连市环境保护局,0,148685.17,297370.34
2210201,住房公积金,40,大连市体育局,0,41999.7,83999.4
2210201,住房公积金,41,大连市统计局,0,131525,257239
2210201,住房公积金,42,大连市食品药品监督管理局,0,125295.92,247622.59
2210201,住房公积金,43,大连市安全生产监督管理局,0,107957.87,215915.74
2210201,住房公积金,45,大连市金融发展局,0,63097.85,127672.54
2210201,住房公积金,48,大连市港口与口岸局,0,79624.21,159323.42
2210201,住房公积金,49,中国共产党大连市委员会老干部局,0,31048.9,62097.8
2210201,住房公积金,50,大连市旅游局,0,50604.24,103550.82
2210201,住房公积金,51,大连市供销合作社联合社,0,65726.97,131453.94
2210201,住房公积金,52,大连市工商行政管理局,0,300845.54,590494.12
2210201,住房公积金,54,大连市档案局,0,65143.76,131896.27
2210201,住房公积金,55,大连市地震局,0,25500.54,51001.08
2210201,住房公积金,57,大连市民主党派行政事务管理办公室,0,128506.05,257012.1
2210201,住房公积金,58,大连市妇女联合会,0,40776.79,81553.58
2210201,住房公积金,59,中国共产主义青年团大连市委员会,0,60770.45,121540.9
2210201,住房公积金,60,大连市工商业联合会,0,44625.18,89250.36
2210201,住房公积金,62,大连市残疾人联合会,0,47485.47,98836.38
2210201,住房公积金,63,大连市文学艺术界联合会,0,19207.61,38415.22
2210201,住房公积金,64,大连市科学技术协会,0,33581.29,67162.58
2210201,住房公积金,65,中国国际贸易促进委员会大连分会,0,46054.78,92919.92
2210201,住房公积金,66,大连市接待办公室,0,30265.48,59654.36
2210201,住房公积金,72,大连市红十字会,0,18930.27,37860.54
2210201,住房公积金,74,大连市人民防空办公室,0,33910.76,67821.52
2210201,住房公积金,82,辽宁省大连市城郊地区人民检察院,0,40862.96,81725.92
2210201,住房公积金,88,大连市轨道交通建设管理办公室,0,17729.3,36935.39
2210201,住房公积金,98,大连市创业促进委员会办公室,0,19440.25,38880.5
2210201,住房公积金,110,大连市物价局,0,66771.99,133543.98
2210201,住房公积金,113,大连钻石海湾规划建设领导小组办公室,0,21852.89,43705.78
2210201,住房公积金,114,大连市公安局交通警察支队,0,1291597.68,2406049.07
2210201,住房公积金,118,大连市公共行政服务中心,0,37125.33,71355.17
2210201,住房公积金,213,大连市城市管理行政执法局,0,64935.06,129870.12
