报文种类,报文标识号,付款人帐号,付款人名称,收款行行号,收款行名称,收款人帐号,收款人名称,金额
111,2.02E+15,3.50E+17,国家金库大连市分库,1.02E+11,中国工商银行大连中山广场支行营业部,3.40E+18,待报解预算收入-中山支库待处理税款户,931607.45
111,2.02E+15,3.50E+17,国家金库大连市分库,1.02E+11,中国工商银行大连中山广场支行营业部,3.40E+18,待报解预算收入-中山支库待处理税款户,29165.13
111,2.02E+15,3.50E+17,国家金库大连市分库,1.02E+11,中国工商银行大连甘井子支行营业部,3.40E+18,待报解预算收入-甘井子支库待处理税款户,293255.17
111,2.02E+15,3.50E+17,国家金库大连市分库,3.01E+11,交通银行股份有限公司大连高新技术产业园区支行,22203000362,园区支库待处理税款户,2418.64
111,2.02E+15,3.50E+17,国家金库大连市分库,1.03E+11,中国农业银行股份有限公司大连花园口支行,5010109,大连花园口支库待处理税款户,64.75
111,2.02E+15,3.50E+17,国家金库大连市分库,1.02E+11,中国工商银行大连中山广场支行营业部,3.40E+18,待报解预算收入-中山支库待处理税款户,997432.04
111,2.02E+15,3.50E+17,国家金库大连市分库,1.02E+11,中国工商银行大连中山广场支行营业部,3.40E+18,待报解预算收入-中山支库待处理税款户,588.02
111,2.02E+15,3.50E+17,国家金库大连市分库,1.02E+11,中国工商银行大连西岗支行营业部,3.40E+18,待报解预算收入-西岗支库待处理税款户,0.4
111,2.02E+15,3.50E+17,国家金库大连市分库,1.02E+11,中国工商银行大连沙河口支行营业部,3.40E+18,待报解预算收入-沙河口支库待处理税款户,7165.05
111,2.02E+15,3.50E+17,国家金库大连市分库,1.02E+11,中国工商银行大连中山广场支行营业部,3.40E+18,待报解预算收入-中山支库待处理税款户,116.5
111,2.02E+15,3.50E+17,国家金库大连市分库,1.02E+11,中国工商银行大连西岗支行营业部,3.40E+18,待报解预算收入-西岗支库待处理税款户,2467.97
111,2.02E+15,3.50E+17,国家金库大连市分库,1.02E+11,中国工商银行大连沙河口支行营业部,3.40E+18,待报解预算收入-沙河口支库待处理税款户,8317.49
111,2.02E+15,3.50E+17,国家金库大连市分库,1.02E+11,中国工商银行大连甘井子支行营业部,3.40E+18,待报解预算收入-甘井子支库待处理税款户,47750.18
111,2.02E+15,3.50E+17,国家金库大连市分库,1.03E+11,中国农业银行股份有限公司大连旅顺口支行,5010105,旅顺支库待处理税款户,22.41
111,2.02E+15,3.50E+17,国家金库大连市分库,1.03E+11,中国农业银行股份有限公司大连旅顺口支行,5010105,旅顺支库待处理税款户,222.48
111,2.02E+15,3.50E+17,国家金库大连市分库,1.03E+11,中国农业银行股份有限公司大连旅顺口支行,5010105,旅顺支库待处理税款户,430.6
111,2.02E+15,3.50E+17,国家金库大连市分库,1.05E+11,中国建设银行大连保税区支行,24102650,保税区支库待处理税款户,1387.2
111,2.02E+15,3.50E+17,国家金库大连市分库,1.02E+11,中国工商银行大连西岗支行营业部,3.40E+18,待报解预算收入-西岗支库待处理税款户,51713.76
111,2.02E+15,3.50E+17,国家金库大连市分库,1.02E+11,中国工商银行大连甘井子支行营业部,3.40E+18,待报解预算收入-甘井子支库待处理税款户,50
111,2.02E+15,3.50E+17,国家金库大连市分库,3.01E+11,交通银行股份有限公司大连高新技术产业园区支行,22203000362,园区支库待处理税款户,196.67
111,2.02E+15,3.50E+17,国家金库大连市分库,1.05E+11,中国建设银行大连保税区支行,24102650,保税区支库待处理税款户,19.05
111,2.02E+15,3.50E+17,国家金库大连市分库,1.02E+11,中国工商银行大连中山广场支行营业部,3.40E+18,待报解预算收入-中山支库待处理税款户,526293.06
111,2.02E+15,3.50E+17,国家金库大连市分库,1.02E+11,中国工商银行大连中山广场支行营业部,3.40E+18,待报解预算收入-中山支库待处理税款户,3544.17
111,2.02E+15,3.50E+17,国家金库大连市分库,1.02E+11,中国工商银行大连西岗支行营业部,3.40E+18,待报解预算收入-西岗支库待处理税款户,3.64
111,2.02E+15,3.50E+17,国家金库大连市分库,1.02E+11,中国工商银行大连沙河口支行营业部,3.40E+18,待报解预算收入-沙河口支库待处理税款户,45.69
111,2.02E+15,3.50E+17,国家金库大连市分库,1.02E+11,中国工商银行大连甘井子支行营业部,3.40E+18,待报解预算收入-甘井子支库待处理税款户,46666.95
111,2.02E+15,3.50E+17,国家金库大连市分库,1.02E+11,中国工商银行大连中山广场支行营业部,3.40E+18,待报解预算收入-中山支库待处理税款户,164612.42
111,2.02E+15,3.50E+17,国家金库大连市分库,1.02E+11,中国工商银行大连中山广场支行营业部,3.40E+18,待报解预算收入-中山支库待处理税款户,5607364.05
111,2.02E+15,3.50E+17,国家金库大连市分库,1.05E+11,中国建设银行大连保税区支行,24102650,保税区支库待处理税款户,13366.17
111,2.02E+15,3.50E+17,国家金库大连市分库,1.02E+11,中国工商银行大连中山广场支行营业部,3.40E+18,待报解预算收入-中山支库待处理税款户,3292898.97
111,2.02E+15,3.50E+17,国家金库大连市分库,1.02E+11,中国工商银行大连中山广场支行营业部,3.40E+18,待报解预算收入-中山支库待处理税款户,22881.66
111,2.02E+15,3.50E+17,国家金库大连市分库,1.02E+11,中国工商银行大连中山广场支行营业部,3.40E+18,待报解预算收入-中山支库待处理税款户,3411242.2
111,2.02E+15,3.50E+17,国家金库大连市分库,1.02E+11,中国工商银行大连中山广场支行营业部,3.40E+18,待报解预算收入-中山支库待处理税款户,3191320.9
111,2.02E+15,3.50E+17,国家金库大连市分库,1.02E+11,中国工商银行大连中山广场支行营业部,3.40E+18,待报解预算收入-中山支库待处理税款户,10252454.85
111,2.02E+15,3.50E+17,国家金库大连市分库,1.02E+11,中国工商银行大连中山广场支行营业部,3.40E+18,待报解预算收入-中山支库待处理税款户,658960.51
111,2.02E+15,3.50E+17,国家金库大连市分库,1.02E+11,中国工商银行大连中山广场支行营业部,3.40E+18,待报解预算收入-中山支库待处理税款户,1260688.69
111,2.02E+15,3.50E+17,国家金库大连市分库,1.02E+11,中国工商银行大连中山广场支行营业部,3.40E+18,待报解预算收入-中山支库待处理税款户,8925680.52
111,2.02E+15,3.50E+17,国家金库大连市分库,1.02E+11,中国工商银行大连中山广场支行营业部,3.40E+18,待报解预算收入-中山支库待处理税款户,180418.44
111,2.02E+15,3.50E+17,国家金库大连市分库,1.02E+11,中国工商银行大连中山广场支行营业部,3.40E+18,待报解预算收入-中山支库待处理税款户,3199640.74
111,2.02E+15,3.50E+17,国家金库大连市分库,1.02E+11,中国工商银行大连中山广场支行营业部,3.40E+18,待报解预算收入-中山支库待处理税款户,559894.49
111,2.02E+15,3.50E+17,国家金库大连市分库,1.02E+11,中国工商银行大连中山广场支行营业部,3.40E+18,待报解预算收入-中山支库待处理税款户,52.36
111,2.02E+15,3.50E+17,国家金库大连市分库,1.02E+11,中国工商银行大连中山广场支行营业部,3.40E+18,待报解预算收入-中山支库待处理税款户,6815.62
111,2.02E+15,3.50E+17,国家金库大连市分库,1.02E+11,中国工商银行大连西岗支行营业部,3.40E+18,待报解预算收入-西岗支库待处理税款户,4307.13
111,2.02E+15,3.50E+17,国家金库大连市分库,1.02E+11,中国工商银行大连沙河口支行营业部,3.40E+18,待报解预算收入-沙河口支库待处理税款户,10698.1
111,2.02E+15,3.50E+17,国家金库大连市分库,1.02E+11,中国工商银行大连甘井子支行营业部,3.40E+18,待报解预算收入-甘井子支库待处理税款户,68670.34
111,2.02E+15,3.50E+17,国家金库大连市分库,1.03E+11,中国农业银行股份有限公司大连旅顺口支行,5010105,旅顺支库待处理税款户,8250
111,2.02E+15,3.50E+17,国家金库大连市分库,3.01E+11,交通银行股份有限公司大连高新技术产业园区支行,22203000362,园区支库待处理税款户,5639.78
111,2.02E+15,3.50E+17,国家金库大连市分库,1.03E+11,中国农业银行股份有限公司大连花园口支行,5010109,大连花园口支库待处理税款户,7316.97
111,2.02E+15,3.50E+17,国家金库大连市分库,1.02E+11,中国工商银行大连中山广场支行营业部,3.40E+18,待报解预算收入-中山支库待处理税款户,85431.35
111,2.02E+15,3.50E+17,国家金库大连市分库,1.02E+11,中国工商银行大连西岗支行营业部,3.40E+18,待报解预算收入-西岗支库待处理税款户,270.87
111,2.02E+15,3.50E+17,国家金库大连市分库,1.02E+11,中国工商银行大连沙河口支行营业部,3.40E+18,待报解预算收入-沙河口支库待处理税款户,60
